concept_id	concept_name	row_count	example_order_id
10365	Lamivudine	9913	46
10370	Stavudine	9781	47
10356	Nevirapine	8810	92
4368	Trimethoprim and sulfamethoxazole	4887	50
10306	Isoniazid	1972	440
10352	Efavirenz	1548	48
3739	Diphtheria tetanus and pertussis vaccination	664	163648
3740	Polio vaccination, oral	639	163650
3718	Hepatitis B vaccination	600	163649
3720	Hemophilus influenza B vaccine	589	163651
134	Lamivudine / zidovudine	569	463
3721	Measles vaccination	553	163647
6689	Lopinavir / ritonavir	474	498
160	Ethambutol and isoniazid	425	1112
6592	Didanosine	404	499
6531	Retrovir	403	497
6063	Abacavir	203	1633
4364	Dapsone	161	124
159	Rifampicin isoniazid pyrazinamide and ethambutol	140	3123
6747	Lamivudine / nevirapine / stavudine	137	6666
8168	Fluconazole	103	3928
3273	Isoniazid / pyrazinamide / rifampin	89	8308
8239	Ethambutol	82	9765
10347	Nelfinavir	72	6261
12184	Infant formula	71	743
158	Rifampicin and isoniazid	47	163683
51999	Total maternal to child transmission prophylaxis	40	740
12871	Streptomycin	23	3122
6352	Tenofovir	12	7476
7510	Rifadin	1	416930
