source_concept_id,source_uuid,target_concept_id,target_uuid,equivalence,policy_bucket,source_record_examples
1,be3650b4-1691-11df-97a5-7038c432aabf,3208,1AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
2,be36d8a4-1691-11df-97a5-7038c432aabf,1538,2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
3,be36dcb7-1691-11df-97a5-7038c432aabf,13172,3AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
4,be36e04b-1691-11df-97a5-7038c432aabf,1531,4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
5,be36e3de-1691-11df-97a5-7038c432aabf,12734,5AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
6,be36e76d-1691-11df-97a5-7038c432aabf,10609,6AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
7,be36eafc-1691-11df-97a5-7038c432aabf,1462,7AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
8,be36ee83-1691-11df-97a5-7038c432aabf,1292,8AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
9,be36f1f4-1691-11df-97a5-7038c432aabf,4386,9AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
10,be36f583-1691-11df-97a5-7038c432aabf,3207,10AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
11,be36f938-1691-11df-97a5-7038c432aabf,3131,11AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
12,be3708f1-1691-11df-97a5-7038c432aabf,3680,12AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
13,be370c00-1691-11df-97a5-7038c432aabf,34334,13AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
14,be370f02-1691-11df-97a5-7038c432aabf,20452,14AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
15,be371200-1691-11df-97a5-7038c432aabf,53359,15AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
16,be3713f4-1691-11df-97a5-7038c432aabf,36363,16AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
17,be3715d7-1691-11df-97a5-7038c432aabf,3741,17AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
18,be3717c7-1691-11df-97a5-7038c432aabf,13754,18AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
19,be3719ab-1691-11df-97a5-7038c432aabf,13516,19AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
20,be371b92-1691-11df-97a5-7038c432aabf,13389,20AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
21,be371d76-1691-11df-97a5-7038c432aabf,242,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
22,be371f62-1691-11df-97a5-7038c432aabf,3692,22AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
23,be372156-1691-11df-97a5-7038c432aabf,13323,23AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
24,be37233e-1691-11df-97a5-7038c432aabf,13301,24AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
